2025-06-24 11:25:58,860 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:25:58', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_112550_568517.mp4'}
2025-06-24 11:26:00,003 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:00', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112557_563143.mp4'}
2025-06-24 11:26:05,296 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:05', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_112557_145013.mp4'}
2025-06-24 11:26:14,281 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:14', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_112606_668820.mp4'}
2025-06-24 11:26:20,283 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:20', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_112610_414526.mp4'}
2025-06-24 11:26:22,863 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:22', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_112621_056737.mp4'}
2025-06-24 11:26:28,155 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:28', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_112619_065160.mp4'}
2025-06-24 11:26:28,947 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:28', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112626_314173.mp4'}
2025-06-24 11:26:37,425 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:37', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112632_214454.mp4'}
2025-06-24 11:26:51,246 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:51', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_112649_130089.mp4'}
2025-06-24 11:26:58,789 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:26:58', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112656_662155.mp4'}
2025-06-24 11:27:17,059 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:17', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112714_663950.mp4'}
